epic,story,status,percent,evidence_files,remaining_gap
P0 Core Trustworthiness,EPIC SUMMARY,done,100,"src/lib/workflows/editing.ts;src/lib/artifact-schemas.ts;src/lib/workflow-dependencies.ts;src/lib/stale-dependency.ts;src/app/books/[slug]/research/page.tsx;src/app/books/[slug]/external-stories/page.tsx;src/app/books/[slug]/editing/page.tsx;src/app/books/[slug]/publish/page.tsx;scripts/editing-trust-regression.ts;scripts/artifact-contract-regression.ts;scripts/stale-dependency-regression.ts;scripts/workspace-warning-regression.ts","No major trust-plumbing gap remains against the P0 acceptance criteria; future work is depth, polish, and broader coverage rather than missing safeguards."
P0 Core Trustworthiness,P0.1 Finish Editing As A Real Editorial System,done,100,"src/lib/workflows/editing.ts;src/lib/editing-types.ts;src/lib/repositories/editing-artifacts.ts;src/app/books/[slug]/editing/page.tsx;scripts/editing-trust-regression.ts","No major functional gap against the original story acceptance criteria; future work is quality depth, not trust plumbing."
P0 Core Trustworthiness,P0.2 Unify Artifact Validation,done,100,"src/lib/artifact-schemas.ts;src/lib/json-utils.ts;src/lib/workflows/research.ts;src/lib/workflows/external-stories.ts;src/app/books/[slug]/research/page.tsx;src/app/books/[slug]/external-stories/page.tsx;scripts/artifact-contract-regression.ts;scripts/workspace-warning-regression.ts","Core trust-sensitive artifact reads now use schema-backed parsing and workspace warning paths; any future work here is incremental coverage expansion, not a missing acceptance-criteria seam."
P0 Core Trustworthiness,P0.3 Add Dependency Invalidation,done,100,"src/lib/workflow-dependencies.ts;src/lib/stale-dependency.ts;src/lib/workflows/outline.ts;src/lib/workflows/fiction.ts;src/app/books/[slug]/base-story/page.tsx;src/app/books/[slug]/research/page.tsx;src/app/books/[slug]/external-stories/page.tsx;src/app/books/[slug]/chapter-draft/page.tsx;src/app/books/[slug]/editing/page.tsx;src/app/books/[slug]/publish/page.tsx;scripts/stale-dependency-regression.ts","Stale-state propagation and recovery guidance are now explicit on the affected downstream stages; future work is breadth of polish, not a missing invalidation path."
P0 Core Trustworthiness,P0.4 Harden Workflow Integrity,done,100,"src/lib/workflows/stage-controls.ts;src/lib/workflows/workflow-automation.ts;src/app/api/internal/workflow-runs/process/route.ts;src/app/books/[slug]/dashboard/actions.ts;src/lib/repositories/books.ts;scripts/editing-trust-regression.ts","Retry, resume, cancel, and unsupported-stage guardrails are now explicit and regression-tested for the trust-critical paths; future work is smarter orchestration, not missing integrity controls."
P0 Core Trustworthiness,P0.5 Reliability And Regression Coverage,done,100,"prisma/seed-reference-books.ts;scripts/nonfiction-regression.mjs;scripts/fiction-publish-regression.mjs;scripts/full-system-regression.mjs;scripts/autopilot-regression.ts;scripts/archive-roundtrip-regression.ts;scripts/artifact-contract-regression.ts;scripts/editing-trust-regression.ts;scripts/stale-dependency-regression.ts;scripts/workspace-warning-regression.ts","P0-critical happy-path, stale-state, artifact-contract, editing-trust, archive, and malformed-workspace regressions are all in place; future coverage gains are breadth, not missing core trust protection."
P1 Writing Quality,EPIC SUMMARY,done,100,"src/lib/workflows/chapter-draft.ts;src/lib/workflows/fiction.ts;src/lib/workflows/editing.ts;src/app/books/[slug]/chapter-draft/page.tsx;src/app/books/[slug]/fiction-stage-page.tsx;src/app/books/[slug]/editing/page.tsx;src/app/books/[slug]/dashboard/page.tsx;src/app/books/[slug]/dashboard/fiction-dashboard.tsx;scripts/nonfiction-regression.mjs;scripts/fiction-publish-regression.mjs;scripts/fiction-scene-focus-regression.ts;scripts/editing-trust-regression.ts;scripts/full-system-regression.mjs","No major gap remains against the P1 story acceptance criteria; future work is model/output sophistication, not missing workflow-quality features."
P1 Writing Quality,P1.1 Deepen Nonfiction Draft Intelligence,done,100,"src/lib/workflows/chapter-draft.ts;src/lib/chapter-draft-types.ts;src/app/books/[slug]/chapter-draft/page.tsx;scripts/nonfiction-regression.mjs","Nonfiction drafting now carries source-weave mandates, argument anchors, paragraph-pressure scoring, repair loops, and user-facing upgrade guidance; future gains are output quality tuning rather than missing story criteria."
P1 Writing Quality,P1.2 Deepen Fiction Draft Intelligence,done,100,"src/lib/workflows/fiction.ts;src/lib/fiction-types.ts;src/lib/fiction-presenters.ts;src/app/books/[slug]/fiction-stage-page.tsx;src/app/books/[slug]/fiction/actions.ts;scripts/fiction-scene-focus-regression.ts;scripts/fiction-publish-regression.mjs","Fiction drafting now supports scene-focused chapter rewrites, richer continuity requirements, story-memory pressure, repair loops, and continuity-watchlist UX; future gains are prose sophistication rather than missing workflow capability."
P1 Writing Quality,P1.3 Expand The Editor Agent,done,100,"src/lib/workflows/editing.ts;src/lib/editing-types.ts;src/app/books/[slug]/editing/actions.ts;src/app/books/[slug]/editing/page.tsx;scripts/editing-trust-regression.ts","The editor now plans, targets, executes, compares, remembers preferences, carries whole-book objectives and coherence risks, and turns conversation into actionable revisions; future gains are model sophistication, not missing agent workflow behavior."
